Iteration,Hit Percentage,Head Shot Percentage,Decision
0,1,1,3
1,1,0.75,3
2,0.833333333333333,0.5,3
3,0.75,0.375,2
4,0.727272727272727,0.363636363636364,2
5,0.75,0.333333333333333,2
6,0.692307692307692,0.307692307692308,2
7,0.714285714285714,0.285714285714286,2
8,0.75,0.3125,2
9,0.789473684210526,0.368421052631579,2
10,0.818181818181818,0.363636363636364,2
11,0.84,0.36,2
12,0.84,0.36,2
13,0.84,0.36,2
14,0.84,0.36,2
15,0.846153846153846,0.384615384615385,2
16,0.862068965517241,0.344827586206897,2
17,0.878787878787879,0.303030303030303,2
18,0.882352941176471,0.294117647058824,2
19,0.882352941176471,0.294117647058824,2
20,0.882352941176471,0.294117647058824,2

